hap	rep	mama_whd	mama_wpd	wepp_whd	wepp_wpd
1	1	0.0	0.0	0.0	0.0
1	2	0.0	0.0	0.0	0.0
1	3	0.0	0.0	0.0	0.0
1	4	0.0	0.0	0.0	0.0
1	5	0.0	0.0	0.0	0.0
1	6	0.0	0.0	0.0	0.0
1	7	0.0	0.0	154.0	154.0
1	8	0.0	0.0	0.0	0.0
1	9	0.0	0.0	0.0	0.0
1	10	0.0	0.0	0.0	0.0
2	1	0.0	0.2743675	0.0	0.289866
2	2	0.0	0.0	0.0	0.016406999999999998
2	3	0.0	0.0	0.0	0.8549100000000001
2	4	0.0	0.0	0.0	10.816899
2	5	0.0	0.0	0.0	0.0
2	6	0.0	0.0	11.4	13.375664
2	7	0.0	0.0	0.0	5.441687
2	8	0.0	0.157433	0.0	0.74019
2	9	0.0	0.0	0.0	0.0
2	10	0.0	0.0	0.0	0.0
3	1	0.0	0.0	0.0	9.486218999999998
3	2	0.0	0.0	0.3	7.707908
3	3	0.0	0.0	11.1	13.486547999999999
3	4	0.0	0.0	49.6	24.703432
3	5	0.0	0.1089444	5.7	9.06712
3	6	0.0	0.0	3.4000000000000004	13.944657
3	7	0.0	0.0	0.6	38.168444
3	8	0.0	0.052507200000000004	0.2	21.974127000000003
3	9	0.0	0.0	0.0	26.606777
3	10	0.0	0.146933	0.0	0.068252
5	1	0.0	0.0	0.0	37.110541
5	2	0.25	0.24972110000000003	0.05	14.396230999999998
5	3	0.0	0.0	0.0	21.012058
5	4	0.0	0.0	15.4	75.14526000000001
5	5	0.0	0.0	4.3	45.223651
5	6	0.0	0.0	0.0	78.194202
5	7	0.0	0.0	0.0	32.937982000000005
5	8	0.0	0.0	0.5	21.572035
5	9	0.0	0.0	0.0	14.29258
5	10	0.0	0.0	2.0	46.488911
10	1	1.7999999999999998	1.753728	3.15	47.645549
10	2	0.1	0.1222411	1.85	67.738531
10	3	0.0	0.55608	3.7	68.996275
10	4	0.1	0.1509705	5.949999999999999	60.70734799999999
10	5	0.0	0.0	1.2000000000000002	109.555728
10	6	0.0	0.0	3.7499999999999996	71.918382
10	7	0.0	0.0	0.0	81.815167
10	8	0.0	0.0	0.30000000000000004	102.03361699999999
10	9	0.05	0.132843	300.9	38.394915
10	10	0.0	0.389308	0.05	37.350884
